category,category_id,subcategory,subcategory_id,amount,year,,amount,year,year,,,,,,,,,,,
教育費,9,小学校費,9-2,1262440000,2013,1262440000,学校建設費,,708356000,389387000,105199000,22400000,37098000,,,,,,,
教育費,9,中学校費,9-3,705610000,2013,705610000,学校建設費,,480512000,84265000,29000000,83870000,27963000,,,,,,,
教育費,9,高等学校費,9-4,228480000,2013,228480000,学校建設費,,14692000,213788000,,,,,,,,,,
教育費,9,特別支援学校費,9-5,126000000,2013,126000000,学校建設費,,126000000,,,,,,,,,,,
教育費,9,社会教育費,9-6,32617000,2013,,社会教育総務費,,32617000,,,,,,,,,,,
教育費,9,,,18300000,2013,,文化施設費,,18300000,,,,,,,,,,,
教育費,9,,,794948000,2013,,公民館費,,213122000,518100000,63726000,,,,,,,,,
教育費,9,,,185053000,2013,,図書館費,,185053000,,,,,,,,,,,
教育費,9,,,25540000,2013,,青少年対策費,,25540000,,,,,,,,,,,
教育費,9,,,30000000,2013,,少年自然の家費,,30000000,,,,,,,,,,,
教育費,9,,,6700000,2013,1093158000,博物館費,,6700000,,,,,,,,,,,
教育費,9,保健体育費,9-7,165685000,2013,,保健体育総務費,,165685000,,,,,,,,,,,
教育費,9,,,1599501000,2013,,学校給食費,,7201000,908378000,683922000,,,,,,,,,
教育費,9,,,7500000,2013,,体育振興費,,7500000,,,,,,,,,,,
教育費,9,,,2166639000,2013,3939325000,体育施設費,,263508000,14280000,204000,1888647000,,,,,,,,
公債費,10,公債費,10-1,4250000,2013,2166639000,公債諸費,,4250000,,,,,,,,,,,
